Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-
02/12/2024,15:02:12,LOC41,PONTO,PTO_DE_SUPERFICIE_25,Z,176.9,176.83,-0.07,0.6,-0.6
02/12/2024,15:02:12,LOC34,PONTO,PTO_DE_SUPERFICIE_26,Z,176.9,176.37,-0.53,0.6,-0.6
02/12/2024,15:02:12,LOC40,PONTO,PTO_DE_SUPERFICIE_27,Z,178.4,178.44,0.04,0.6,-0.6
02/12/2024,15:02:12,LOC35,PONTO,PTO_DE_SUPERFICIE_28,Z,178.4,177.82,-0.58,0.6,-0.6
02/12/2024,15:02:12,LOC30,PONTO,PTO_DE_SUPERFICIE_32,Z,178.4,178.54,0.14,0.6,-0.6
02/12/2024,15:02:12,LOC33,PONTO,PTO_DE_SUPERFICIE_36,Z,176.9,176.6,-0.3,0.6,-0.6
02/12/2024,15:02:12,LOC31,PONTO,PTO_DE_SUPERFICIE_37,Z,176.9,176.37,-0.53,0.6,-0.6
02/12/2024,15:02:12,LOC32,PONTO,PTO_DE_SUPERFICIE_38,Z,176.9,176.1,-0.8,0.6,-0.6
02/12/2024,15:02:12,LOC36,PONTO,PTO_DE_SUPERFICIE_39,Z,176.9,177.06,0.16,0.6,-0.6
02/12/2024,15:02:12,LOC37,PONTO,PTO_DE_SUPERFICIE_40,Z,176.9,176.31,-0.59,0.6,-0.6
02/12/2024,15:02:12,LOC39,PONTO,PTO_DE_SUPERFICIE_46,Z,176.9,176.55,-0.35,0.6,-0.6
02/12/2024,15:02:12,LOC38,PONTO,PTO_DE_SUPERFICIE_48,Z,178.4,178.35,-0.05,0.6,-0.6
02/12/2024,15:02:12,LOC53,PONTO,PTO_DE_SUPERFICIE_29,Z,178.4,178.2,-0.2,0.6,-0.6
02/12/2024,15:02:12,LOC55,PONTO,PTO_DE_SUPERFICIE_30,Z,178.4,178.28,-0.12,0.6,-0.6
02/12/2024,15:02:12,LOC22,PONTO,PTO_DE_SUPERFICIE_41,Z,178.4,178.8,0.4,0.6,-0.6
02/12/2024,15:02:12,LOC54,PONTO,PTO_DE_SUPERFICIE_49,Z,178.4,177.77,-0.63,0.6,-0.6
02/12/2024,15:02:12,LOC118,PONTO,PTO_DE_SUPERFICIE_55,Z,117.43,117.82,0.39,0.6,-0.6
02/12/2024,15:02:12,LOC47,PONTO,PTO_DE_SUPERFICIE_56,Z,117.43,117.6,0.17,0.6,-0.6
02/12/2024,15:02:12,LOC58,PONTO,PTO_DE_SUPERFICIE_57,Z,117.43,118.21,0.78,0.6,-0.6
02/12/2024,15:02:12,LOC52,PONTO,PTO_DE_SUPERFICIE_58,Z,117.43,117.82,0.39,0.6,-0.6
02/12/2024,15:02:12,LOC51,PONTO,PTO_DE_SUPERFICIE_59,Z,117.43,117.71,0.28,0.6,-0.6
02/12/2024,15:02:12,LOC57,PONTO,PTO_DE_SUPERFICIE_60,Z,117.43,117.69,0.26,0.6,-0.6
02/12/2024,15:02:12,LOC50,PONTO,PTO_DE_SUPERFICIE_61,Z,117.43,117.7,0.27,0.6,-0.6
02/12/2024,15:02:12,LOC56,PONTO,PTO_DE_SUPERFICIE_62,Z,117.43,117.64,0.21,0.6,-0.6
02/12/2024,15:02:12,LOC46,PONTO,PTO_DE_SUPERFICIE_63,Z,117.43,117.62,0.19,0.6,-0.6
02/12/2024,15:02:12,LOC59,PONTO,PTO_DE_SUPERFICIE_64,Z,117.43,117.74,0.31,0.6,-0.6
02/12/2024,15:02:12,LOC49,PONTO,PTO_DE_SUPERFICIE_65,Z,117.43,117.58,0.15,0.6,-0.6
02/12/2024,15:02:12,LOC48,PONTO,PTO_DE_SUPERFICIE_66,Z,117.43,117.4,-0.03,0.6,-0.6
02/12/2024,15:02:12,LOC60,PONTO,PTO_DE_SUPERFICIE_51,X,3157.27,3156.65,-0.63,0.6,-0.6
02/12/2024,15:02:12,LOC61,PONTO,PTO_DE_SUPERFICIE_52,X,3163.23,3162.86,-0.36,0.6,-0.6
02/12/2024,15:02:12,LOC62,PONTO,PTO_DE_SUPERFICIE_53,X,3157.06,3156.25,-0.82,0.6,-0.6
02/12/2024,15:02:12,LOC63,PONTO,PTO_DE_SUPERFICIE_54,X,3163.65,3163.33,-0.32,0.6,-0.6
02/12/2024,15:02:12,LOC64,PONTO,PTO_DE_SUPERFICIE_67,X,3157.27,3156.19,-1.08,0.6,-0.6
02/12/2024,15:02:12,LOC65,PONTO,PTO_DE_SUPERFICIE_68,X,3163.86,3163.43,-0.43,0.6,-0.6
02/12/2024,15:02:12,LOC66,PONTO,PTO_DE_SUPERFICIE_69,X,3163.01,3162.61,-0.4,0.6,-0.6
02/12/2024,15:02:12,LOC67,PONTO,PTO_DE_SUPERFICIE_70,X,3156.85,3156.03,-0.82,0.6,-0.6
02/12/2024,15:02:12,LOC68,PONTO,PTO_DE_SUPERFICIE_77,X,3277.88,3278.48,0.6,0.6,-0.6
02/12/2024,15:02:12,LOC69,PONTO,PTO_DE_SUPERFICIE_78,X,3272.14,3272.68,0.54,0.6,-0.6
02/12/2024,15:02:12,LOC70,PONTO,PTO_DE_SUPERFICIE_75,X,3272.57,3273.21,0.64,0.6,-0.6
02/12/2024,15:02:12,LOC71,PONTO,PTO_DE_SUPERFICIE_76,X,3278.31,3279.11,0.8,0.6,-0.6
02/12/2024,15:02:12,LOC72,PONTO,PTO_DE_SUPERFICIE_80,X,3277.24,3277.26,0.02,0.6,-0.6
02/12/2024,15:02:12,LOC73,PONTO,PTO_DE_SUPERFICIE_79,X,3271.0,3271.24,0.24,0.6,-0.6
02/12/2024,15:02:12,LOC74,PONTO,PTO_DE_SUPERFICIE_81,X,3273.32,3272.59,-0.73,0.6,-0.6
02/12/2024,15:02:12,LOC75,PONTO,PTO_DE_SUPERFICIE_82,X,3277.24,3277.26,0.02,0.6,-0.6
02/12/2024,15:02:12,LOC76,PONTO,PTO_DE_SUPERFICIE_73,Y,51.5,52.01,0.51,0.6,-0.6
02/12/2024,15:02:12,LOC77,PONTO,PTO_DE_SUPERFICIE_74,Y,51.5,52.68,1.18,0.6,-0.6
02/12/2024,15:02:12,LOC78,PONTO,PTO_DE_SUPERFICIE_71,Y,-51.5,-51.6,-0.09,0.6,-0.6
02/12/2024,15:02:12,LOC79,PONTO,PTO_DE_SUPERFICIE_72,Y,-51.5,-52.24,-0.73,0.6,-0.6
02/12/2024,15:02:12,LOC80,PONTO,PTO_DE_BORDA_APARADA_01,X,3310.15,3310.89,0.74,1.2,-1.2
02/12/2024,15:02:12,LOC81,PONTO,PTO_DE_BORDA_APARADA_02,X,3310.15,3310.52,0.38,1.2,-1.2
02/12/2024,15:02:12,LOC82,PONTO,PTO_DE_BORDA_APARADA_03,X,3336.03,3336.14,0.11,1.2,-1.2
02/12/2024,15:02:12,LOC83,PONTO,PTO_DE_BORDA_APARADA_04,X,3310.15,3309.91,-0.24,1.2,-1.2
02/12/2024,15:02:12,LOC84,PONTO,PTO_DE_BORDA_APARADA_10,X,3125.44,3122.96,-2.48,1.2,-1.2
02/12/2024,15:02:12,LOC85,PONTO,PTO_DE_BORDA_APARADA_11,X,3125.44,3123.11,-2.33,1.2,-1.2
02/12/2024,15:02:12,LOC86,PONTO,PTO_DE_BORDA_APARADA_12,X,3125.44,3123.39,-2.05,1.2,-1.2
02/12/2024,15:02:12,LOC87,PONTO,PTO_DE_BORDA_APARADA_13,X,3125.44,3123.62,-1.82,1.2,-1.2
02/12/2024,15:02:12,LOC88,PONTO,PTO_DE_BORDA_APARADA_14,X,3125.44,3123.92,-1.52,1.2,-1.2
02/12/2024,15:02:12,LOC89,PONTO,PTO_DE_BORDA_APARADA_15,X,3125.44,3124.23,-1.21,1.2,-1.2
02/12/2024,15:02:12,LOC90,PONTO,PTO_DE_BORDA_APARADA_23,X,3336.03,3336.91,0.88,1.2,-1.2
02/12/2024,15:02:12,LOC91,PONTO,PTO_DE_BORDA_APARADA_24,X,3310.15,3311.22,1.07,1.2,-1.2
02/12/2024,15:02:12,LOC92,PONTO,PTO_DE_BORDA_APARADA_21,Y,-306.52,-306.36,0.16,1.0,-1.0
02/12/2024,15:02:12,LOC93,PONTO,PTO_DE_BORDA_APARADA_20,Y,-306.52,-306.42,0.1,1.0,-1.0
02/12/2024,15:02:12,LOC94,PONTO,PTO_DE_BORDA_APARADA_19,Y,-306.52,-306.52,-0.01,1.0,-1.0
02/12/2024,15:02:12,LOC95,PONTO,PTO_DE_BORDA_APARADA_18,Y,-306.52,-306.58,-0.06,1.0,-1.0
02/12/2024,15:02:12,LOC96,PONTO,PTO_DE_BORDA_APARADA_17,Y,-306.52,-306.66,-0.14,1.0,-1.0
02/12/2024,15:02:12,LOC97,PONTO,PTO_DE_BORDA_APARADA_16,Y,-306.52,-306.75,-0.23,1.0,-1.0
02/12/2024,15:02:12,LOC98,PONTO,PTO_DE_BORDA_APARADA_22,Y,306.51,306.74,0.23,1.0,-1.0
02/12/2024,15:02:12,LOC99,PONTO,PTO_DE_BORDA_APARADA_05,Y,306.51,306.8,0.29,1.0,-1.0
02/12/2024,15:02:12,LOC100,PONTO,PTO_DE_BORDA_APARADA_06,Y,306.51,306.64,0.13,1.0,-1.0
02/12/2024,15:02:12,LOC101,PONTO,PTO_DE_BORDA_APARADA_07,Y,306.51,306.61,0.09,1.0,-1.0
02/12/2024,15:02:12,LOC102,PONTO,PTO_DE_BORDA_APARADA_08,Y,306.51,306.43,-0.08,1.0,-1.0
02/12/2024,15:02:12,LOC103,PONTO,PTO_DE_BORDA_APARADA_09,Y,306.51,306.33,-0.18,1.0,-1.0
