Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-,Origem
05/12/2025,10:32:06,LOC27,PONTO,PTO_DE_SUPERFICIE_17,Z,176.9,176.77,-0.13,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC28,PONTO,PTO_DE_SUPERFICIE_19,Z,176.9,176.79,-0.11,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC29,PONTO,PTO_DE_SUPERFICIE_20,Z,176.9,177.1,0.2,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC42,PONTO,PTO_DE_SUPERFICIE_21,Z,176.9,176.57,-0.33,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC43,PONTO,PTO_DE_SUPERFICIE_22,Z,176.9,177.29,0.39,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC44,PONTO,PTO_DE_SUPERFICIE_23,Z,176.9,177.2,0.3,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC45,PONTO,PTO_DE_SUPERFICIE_24,Z,176.9,176.57,-0.33,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC41,PONTO,PTO_DE_SUPERFICIE_25,Z,176.9,176.91,0.01,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC34,PONTO,PTO_DE_SUPERFICIE_26,Z,176.9,176.43,-0.47,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC40,PONTO,PTO_DE_SUPERFICIE_27,Z,178.4,178.45,0.05,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC35,PONTO,PTO_DE_SUPERFICIE_28,Z,178.4,177.84,-0.56,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC30,PONTO,PTO_DE_SUPERFICIE_32,Z,178.4,179.03,0.63,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC33,PONTO,PTO_DE_SUPERFICIE_36,Z,176.9,176.82,-0.08,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC31,PONTO,PTO_DE_SUPERFICIE_37,Z,176.9,176.45,-0.45,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC32,PONTO,PTO_DE_SUPERFICIE_38,Z,176.9,176.3,-0.6,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC36,PONTO,PTO_DE_SUPERFICIE_39,Z,176.9,177.23,0.33,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC37,PONTO,PTO_DE_SUPERFICIE_40,Z,176.9,176.37,-0.53,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC39,PONTO,PTO_DE_SUPERFICIE_46,Z,176.9,176.57,-0.33,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC38,PONTO,PTO_DE_SUPERFICIE_48,Z,178.4,178.43,0.03,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC53,PONTO,PTO_DE_SUPERFICIE_29,Z,178.4,177.87,-0.53,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC55,PONTO,PTO_DE_SUPERFICIE_30,Z,178.4,177.81,-0.59,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC22,PONTO,PTO_DE_SUPERFICIE_41,Z,178.4,178.27,-0.13,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC54,PONTO,PTO_DE_SUPERFICIE_49,Z,178.4,177.53,-0.87,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC118,PONTO,PTO_DE_SUPERFICIE_55,Z,117.43,118.16,0.73,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC47,PONTO,PTO_DE_SUPERFICIE_56,Z,117.43,117.54,0.11,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC58,PONTO,PTO_DE_SUPERFICIE_57,Z,117.43,118.5,1.07,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC52,PONTO,PTO_DE_SUPERFICIE_58,Z,117.43,117.62,0.19,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC51,PONTO,PTO_DE_SUPERFICIE_59,Z,117.43,117.61,0.18,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC57,PONTO,PTO_DE_SUPERFICIE_60,Z,117.43,117.7,0.27,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC50,PONTO,PTO_DE_SUPERFICIE_61,Z,117.43,117.78,0.35,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC56,PONTO,PTO_DE_SUPERFICIE_62,Z,117.43,117.6,0.17,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC46,PONTO,PTO_DE_SUPERFICIE_63,Z,117.43,117.41,-0.02,0.6,-0.6,C2025.3007.csv
